anomaly_id,timestamp,task_id,machine_id,operator_id,anomaly_type,severity,observed_value,baseline_value,reason,recommended_action
A00149,2026-01-01 10:12:08,T00299,EXC001,OP003,PROXIMITY_APPROACH,ATTENTION,21.02,20.0,Person entered a closer-than-normal operating zone,Pause the relevant movement and confirm personnel clearance
A00150,2026-01-29 12:43:22,T00453,LOD001,OP007,PROXIMITY_APPROACH,CRITICAL,25.97,20.0,Person entered a closer-than-normal operating zone,Pause the relevant movement and confirm personnel clearance
A00151,2026-01-27 12:30:53,T00344,DOZ001,OP004,EXCESS_IDLE,CRITICAL,0.4,5.836,Idle duration exceeded operator baseline while task was active,Stand by safely and resume when the work zone is clear
A00152,2026-01-15 06:22:40,T00720,EXC001,OP006,BELT_VIOLATION,ATTENTION,1.0,1.0,Seatbelt disengaged during machine movement,Stop movement and secure the seatbelt
A00153,2026-01-15 15:43:55,T00558,LOD001,OP004,HIGH_FUEL_PER_CYCLE,ACTION,0.0,0.12,Fuel consumed per cycle was above task baseline,Check loading technique and avoid unnecessary high-load cycles
A00154,2026-01-29 14:22:21,T00423,DOZ001,OP003,UNEXPECTED_MOVEMENT,ACTION,3.65,0.0,Machine movement occurred during a non-moving task state,Stop movement and verify the intended machine state
A00155,2026-01-19 09:49:24,T00527,EXC002,OP002,HIGH_FUEL_PER_CYCLE,ACTION,12.915,0.12,Fuel consumed per cycle was above task baseline,Check loading technique and avoid unnecessary high-load cycles
A00156,2026-01-07 10:10:50,T00027,LOD001,OP004,HARSH_SWING,ATTENTION,11.2,110.0,Swing activity was unusually abrupt for the current task,Reduce swing speed and confirm the swing zone is clear
A00157,2026-01-03 10:33:24,T00909,DOZ001,OP005,BELT_VIOLATION,ATTENTION,1.0,1.0,Seatbelt disengaged during machine movement,Stop movement and secure the seatbelt
A00158,2026-01-30 07:59:34,T00995,EXC001,OP006,RAPID_CONTROL_CORRECTIONS,ATTENTION,3.83,3.319,Control corrections increased above operator baseline,Pause if safe and stabilize machine control inputs
A00159,2026-01-03 07:59:26,T00161,EXC001,OP007,RAPID_CONTROL_CORRECTIONS,ATTENTION,4.77,3.554,Control corrections increased above operator baseline,Pause if safe and stabilize machine control inputs
A00160,2026-01-13 09:38:20,T00291,DOZ001,OP004,OVERLOAD,CRITICAL,55.4,90.0,Observed load exceeded the normal operating threshold,Reduce load and reassess the current lift/load condition
A00161,2026-01-29 15:36:33,T00188,EXC001,OP006,ABNORMAL_CYCLE_TIME,CRITICAL,37.33,34.94,Recent cycle time deviated materially from task baseline,Check task conditions and compare recent cycles with baseline
A00162,2026-01-18 16:55:17,T00116,DOZ001,OP006,SLOW_REACTION,ATTENTION,592.9,433.957,Reaction time was elevated relative to operator baseline,Pause at a safe stationary point and review operator workload
A00163,2026-01-04 11:36:33,T00990,EXC002,OP004,UNSTABLE_GROUND,ACTION,0.769,0.6,Ground/slope conditions reduced the stability index,Stop the high-risk movement and reassess ground/stability conditions
A00164,2026-01-26 13:41:22,T00243,EXC001,OP006,HIGH_ENGINE_IDLE,ATTENTION,1.51,2.217,Engine remained active while machine was stationary,Use safe standby when continued engine operation is not required
A00165,2026-01-23 17:01:09,T00415,LOD001,OP006,UNSTABLE_GROUND,ACTION,0.793,0.6,Ground/slope conditions reduced the stability index,Stop the high-risk movement and reassess ground/stability conditions
A00166,2026-01-02 06:20:23,T00373,EXC002,OP004,EXCESS_IDLE,CRITICAL,0.0,5.836,Idle duration exceeded operator baseline while task was active,Stand by safely and resume when the work zone is clear
A00167,2026-01-13 14:36:26,T00168,DOZ001,OP003,OVERLOAD,ACTION,53.18,90.0,Observed load exceeded the normal operating threshold,Reduce load and reassess the current lift/load condition
A00168,2026-01-07 10:01:14,T00586,EXC001,OP005,PROXIMITY_APPROACH,CRITICAL,12.22,20.0,Person entered a closer-than-normal operating zone,Pause the relevant movement and confirm personnel clearance
A00169,2026-01-14 16:23:33,T00487,EXC001,OP002,UNSTABLE_GROUND,ACTION,0.879,0.6,Ground/slope conditions reduced the stability index,Stop the high-risk movement and reassess ground/stability conditions
A00170,2026-01-04 11:44:25,T00996,LOD001,OP003,HARSH_SWING,ACTION,3.3,110.0,Swing activity was unusually abrupt for the current task,Reduce swing speed and confirm the swing zone is clear
A00171,2026-01-28 16:25:28,T00488,DOZ001,OP001,ABNORMAL_CYCLE_TIME,ACTION,64.35,62.71,Recent cycle time deviated materially from task baseline,Check task conditions and compare recent cycles with baseline
A00172,2026-01-13 06:52:25,T00468,DOZ001,OP008,ABNORMAL_CYCLE_TIME,CRITICAL,64.23,60.56,Recent cycle time deviated materially from task baseline,Check task conditions and compare recent cycles with baseline
A00173,2026-01-17 13:05:19,T00571,EXC001,OP004,UNEXPECTED_MOVEMENT,ACTION,1.34,0.0,Machine movement occurred during a non-moving task state,Stop movement and verify the intended machine state
A00174,2026-01-27 07:10:23,T00245,DOZ001,OP008,SLOW_REACTION,CRITICAL,579.9,551.875,Reaction time was elevated relative to operator baseline,Pause at a safe stationary point and review operator workload
A00175,2026-01-14 16:57:52,T00602,EXC001,OP006,BELT_VIOLATION,ACTION,1.0,1.0,Seatbelt disengaged during machine movement,Stop movement and secure the seatbelt
A00176,2026-01-03 16:06:48,T00744,EXC001,OP001,HARSH_SWING,CRITICAL,95.2,110.0,Swing activity was unusually abrupt for the current task,Reduce swing speed and confirm the swing zone is clear
A00177,2026-01-06 16:30:14,T00690,DOZ001,OP002,PROXIMITY_APPROACH,ACTION,28.1,20.0,Person entered a closer-than-normal operating zone,Pause the relevant movement and confirm personnel clearance
A00178,2026-01-27 07:40:53,T00497,DOZ001,OP006,RAPID_CONTROL_CORRECTIONS,ACTION,4.77,3.319,Control corrections increased above operator baseline,Pause if safe and stabilize machine control inputs
A00179,2026-01-25 08:06:21,T00629,DOZ001,OP006,EXCESS_IDLE,ACTION,8.36,2.217,Idle duration exceeded operator baseline while task was active,Stand by safely and resume when the work zone is clear
A00180,2026-01-08 13:37:52,T00003,EXC001,OP007,EXCESS_IDLE,ACTION,4.34,2.688,Idle duration exceeded operator baseline while task was active,Stand by safely and resume when the work zone is clear
A00181,2026-01-27 13:07:21,T00444,LOD001,OP005,UNSTABLE_GROUND,CRITICAL,0.684,0.6,Ground/slope conditions reduced the stability index,Stop the high-risk movement and reassess ground/stability conditions
A00182,2026-01-10 07:15:49,T00826,EXC002,OP006,ABNORMAL_CYCLE_TIME,ATTENTION,120.19,112.5,Recent cycle time deviated materially from task baseline,Check task conditions and compare recent cycles with baseline
A00183,2026-01-24 14:38:58,T00089,EXC002,OP002,RAPID_CONTROL_CORRECTIONS,ACTION,4.01,3.751,Control corrections increased above operator baseline,Pause if safe and stabilize machine control inputs
A00184,2026-01-19 15:10:33,T00834,LOD001,OP004,ABNORMAL_CYCLE_TIME,ATTENTION,51.1,52.68,Recent cycle time deviated materially from task baseline,Check task conditions and compare recent cycles with baseline
A00185,2026-01-30 10:26:49,T00182,EXC002,OP006,HARSH_SWING,ATTENTION,114.7,110.0,Swing activity was unusually abrupt for the current task,Reduce swing speed and confirm the swing zone is clear
A00186,2026-01-04 16:48:32,T00272,EXC002,OP008,HARSH_SWING,ACTION,53.2,110.0,Swing activity was unusually abrupt for the current task,Reduce swing speed and confirm the swing zone is clear
A00187,2026-01-16 07:44:59,T00074,DOZ001,OP002,HIGH_ENGINE_IDLE,CRITICAL,5.48,8.356,Engine remained active while machine was stationary,Use safe standby when continued engine operation is not required
A00188,2026-01-14 17:00:42,T00490,EXC002,OP002,RAPID_CONTROL_CORRECTIONS,CRITICAL,5.02,3.751,Control corrections increased above operator baseline,Pause if safe and stabilize machine control inputs
A00189,2026-01-20 16:12:45,T00767,EXC001,OP001,UNSTABLE_GROUND,ACTION,0.806,0.6,Ground/slope conditions reduced the stability index,Stop the high-risk movement and reassess ground/stability conditions
A00190,2026-01-24 11:46:37,T00233,EXC002,OP006,SLOW_REACTION,ACTION,466.1,433.957,Reaction time was elevated relative to operator baseline,Pause at a safe stationary point and review operator workload
A00191,2026-01-12 15:41:38,T00268,LOD001,OP005,BELT_VIOLATION,ACTION,1.0,1.0,Seatbelt disengaged during machine movement,Stop movement and secure the seatbelt
A00192,2026-01-06 11:35:57,T00450,DOZ001,OP006,HIGH_FUEL_PER_CYCLE,ATTENTION,4.89,0.12,Fuel consumed per cycle was above task baseline,Check loading technique and avoid unnecessary high-load cycles
A00193,2026-01-11 17:32:33,T00636,EXC002,OP004,HIGH_ENGINE_IDLE,ACTION,6.34,5.836,Engine remained active while machine was stationary,Use safe standby when continued engine operation is not required
A00194,2026-01-12 12:14:45,T00124,EXC002,OP006,SLOW_REACTION,ATTENTION,522.5,433.957,Reaction time was elevated relative to operator baseline,Pause at a safe stationary point and review operator workload
A00195,2026-01-06 15:45:22,T00051,EXC001,OP005,PROXIMITY_APPROACH,ACTION,19.44,20.0,Person entered a closer-than-normal operating zone,Pause the relevant movement and confirm personnel clearance
A00196,2026-01-02 16:13:58,T00305,DOZ001,OP008,HIGH_ENGINE_IDLE,ATTENTION,0.0,5.594,Engine remained active while machine was stationary,Use safe standby when continued engine operation is not required
A00197,2026-01-17 07:16:05,T00509,LOD001,OP001,EXCESS_IDLE,ACTION,12.51,5.826,Idle duration exceeded operator baseline while task was active,Stand by safely and resume when the work zone is clear
A00198,2026-01-18 17:56:44,T00383,EXC001,OP001,UNEXPECTED_MOVEMENT,ACTION,0.43,0.0,Machine movement occurred during a non-moving task state,Stop movement and verify the intended machine state
A00199,2026-01-03 16:07:26,T00143,EXC001,OP008,UNEXPECTED_MOVEMENT,ATTENTION,1.19,0.0,Machine movement occurred during a non-moving task state,Stop movement and verify the intended machine state
A00200,2026-01-04 11:22:15,T00930,DOZ001,OP005,HIGH_ENGINE_IDLE,ATTENTION,4.45,7.605,Engine remained active while machine was stationary,Use safe standby when continued engine operation is not required
A00201,2026-01-06 18:12:36,T00726,EXC002,OP007,HARSH_SWING,CRITICAL,100.4,110.0,Swing activity was unusually abrupt for the current task,Reduce swing speed and confirm the swing zone is clear
A00202,2026-01-25 17:12:21,T00952,LOD001,OP008,ABNORMAL_CYCLE_TIME,ATTENTION,44.06,44.78,Recent cycle time deviated materially from task baseline,Check task conditions and compare recent cycles with baseline
A00203,2026-01-21 13:56:29,T00711,EXC002,OP003,PROXIMITY_APPROACH,ATTENTION,3.0,20.0,Person entered a closer-than-normal operating zone,Pause the relevant movement and confirm personnel clearance
A00204,2026-01-21 13:51:52,T00711,EXC002,OP003,BELT_VIOLATION,ATTENTION,1.0,1.0,Seatbelt disengaged during machine movement,Stop movement and secure the seatbelt
A00205,2026-01-26 15:43:52,T00171,EXC002,OP003,UNSTABLE_GROUND,ACTION,0.796,0.6,Ground/slope conditions reduced the stability index,Stop the high-risk movement and reassess ground/stability conditions
A00206,2026-01-09 13:20:01,T00482,EXC002,OP005,SLOW_REACTION,CRITICAL,522.8,416.965,Reaction time was elevated relative to operator baseline,Pause at a safe stationary point and review operator workload
A00207,2026-01-12 14:49:30,T00292,LOD001,OP005,SLOW_REACTION,CRITICAL,395.5,416.965,Reaction time was elevated relative to operator baseline,Pause at a safe stationary point and review operator workload
A00208,2026-01-08 16:59:51,T00122,EXC001,OP005,UNEXPECTED_MOVEMENT,ATTENTION,0.0,0.0,Machine movement occurred during a non-moving task state,Stop movement and verify the intended machine state
A00209,2026-01-27 06:08:07,T00623,EXC002,OP007,EXCESS_IDLE,ATTENTION,0.66,2.688,Idle duration exceeded operator baseline while task was active,Stand by safely and resume when the work zone is clear
A00210,2026-01-03 10:41:00,T00661,EXC001,OP004,UNEXPECTED_MOVEMENT,ATTENTION,0.0,0.0,Machine movement occurred during a non-moving task state,Stop movement and verify the intended machine state
A00211,2026-01-24 06:04:16,T00473,EXC001,OP004,HIGH_FUEL_PER_CYCLE,ACTION,18.84,0.12,Fuel consumed per cycle was above task baseline,Check loading technique and avoid unnecessary high-load cycles
A00212,2026-01-21 13:48:03,T00816,LOD001,OP002,SLOW_REACTION,ATTENTION,465.6,456.101,Reaction time was elevated relative to operator baseline,Pause at a safe stationary point and review operator workload
A00213,2026-01-21 08:48:32,T00336,DOZ001,OP007,UNEXPECTED_MOVEMENT,ATTENTION,3.12,0.0,Machine movement occurred during a non-moving task state,Stop movement and verify the intended machine state
A00214,2026-01-06 08:38:47,T00827,EXC001,OP005,HIGH_ENGINE_IDLE,ATTENTION,15.54,7.605,Engine remained active while machine was stationary,Use safe standby when continued engine operation is not required
A00215,2026-01-09 06:09:26,T00091,LOD001,OP003,HIGH_ENGINE_IDLE,ACTION,6.71,5.841,Engine remained active while machine was stationary,Use safe standby when continued engine operation is not required
A00216,2026-01-02 06:55:11,T00373,EXC002,OP004,RAPID_CONTROL_CORRECTIONS,ATTENTION,2.79,2.37,Control corrections increased above operator baseline,Pause if safe and stabilize machine control inputs
A00217,2026-01-02 12:41:42,T00189,EXC001,OP008,RAPID_CONTROL_CORRECTIONS,ACTION,2.96,2.36,Control corrections increased above operator baseline,Pause if safe and stabilize machine control inputs
A00218,2026-01-04 11:30:28,T00996,LOD001,OP003,HIGH_FUEL_PER_CYCLE,ACTION,6.235,0.12,Fuel consumed per cycle was above task baseline,Check loading technique and avoid unnecessary high-load cycles
A00219,2026-01-22 11:35:00,T00434,EXC001,OP002,HARSH_SWING,ACTION,9.4,110.0,Swing activity was unusually abrupt for the current task,Reduce swing speed and confirm the swing zone is clear
A00220,2026-01-04 14:25:00,T00865,LOD001,OP008,UNEXPECTED_MOVEMENT,ACTION,1.96,0.0,Machine movement occurred during a non-moving task state,Stop movement and verify the intended machine state
A00221,2026-01-30 15:20:53,T00859,EXC001,OP002,RAPID_CONTROL_CORRECTIONS,ATTENTION,3.21,3.751,Control corrections increased above operator baseline,Pause if safe and stabilize machine control inputs
A00222,2026-01-04 16:51:25,T00257,DOZ001,OP008,UNEXPECTED_MOVEMENT,ATTENTION,0.0,0.0,Machine movement occurred during a non-moving task state,Stop movement and verify the intended machine state
A00223,2026-01-13 07:48:55,T00882,LOD001,OP006,HARSH_SWING,ATTENTION,6.9,110.0,Swing activity was unusually abrupt for the current task,Reduce swing speed and confirm the swing zone is clear
A00224,2026-01-24 14:15:43,T00064,DOZ001,OP003,HIGH_FUEL_PER_CYCLE,ACTION,4.945,0.12,Fuel consumed per cycle was above task baseline,Check loading technique and avoid unnecessary high-load cycles
A00225,2026-01-02 11:29:13,T00204,EXC002,OP003,EXCESS_IDLE,ACTION,1.9,5.841,Idle duration exceeded operator baseline while task was active,Stand by safely and resume when the work zone is clear
A00226,2026-01-15 06:13:53,T00402,LOD001,OP001,ABNORMAL_CYCLE_TIME,CRITICAL,59.48,60.0,Recent cycle time deviated materially from task baseline,Check task conditions and compare recent cycles with baseline
A00227,2026-01-23 09:37:36,T00397,LOD001,OP002,HIGH_FUEL_PER_CYCLE,CRITICAL,4.336,0.12,Fuel consumed per cycle was above task baseline,Check loading technique and avoid unnecessary high-load cycles
A00228,2026-01-09 13:51:03,T00409,EXC001,OP004,PROXIMITY_APPROACH,ACTION,23.7,20.0,Person entered a closer-than-normal operating zone,Pause the relevant movement and confirm personnel clearance
A00229,2026-01-18 09:22:34,T00531,EXC002,OP003,UNEXPECTED_MOVEMENT,ACTION,0.0,0.0,Machine movement occurred during a non-moving task state,Stop movement and verify the intended machine state
A00230,2026-01-08 17:13:38,T00281,EXC002,OP001,HARSH_SWING,ACTION,32.8,110.0,Swing activity was unusually abrupt for the current task,Reduce swing speed and confirm the swing zone is clear
A00231,2026-01-28 16:20:17,T00812,LOD001,OP001,EXCESS_IDLE,ACTION,1.4,5.826,Idle duration exceeded operator baseline while task was active,Stand by safely and resume when the work zone is clear
A00232,2026-01-18 15:25:36,T00569,DOZ001,OP006,PROXIMITY_APPROACH,CRITICAL,19.88,20.0,Person entered a closer-than-normal operating zone,Pause the relevant movement and confirm personnel clearance
A00233,2026-01-03 15:58:25,T00125,EXC001,OP003,SLOW_REACTION,ACTION,532.0,386.695,Reaction time was elevated relative to operator baseline,Pause at a safe stationary point and review operator workload
A00234,2026-01-03 09:19:07,T00745,DOZ001,OP003,EXCESS_IDLE,ACTION,3.61,5.841,Idle duration exceeded operator baseline while task was active,Stand by safely and resume when the work zone is clear
A00235,2026-01-19 10:04:22,T00527,EXC002,OP002,RAPID_CONTROL_CORRECTIONS,ATTENTION,6.03,3.751,Control corrections increased above operator baseline,Pause if safe and stabilize machine control inputs
A00236,2026-01-07 15:57:28,T00242,LOD001,OP003,BELT_VIOLATION,ATTENTION,1.0,1.0,Seatbelt disengaged during machine movement,Stop movement and secure the seatbelt
A00237,2026-01-22 12:21:49,T00056,EXC001,OP007,UNSTABLE_GROUND,ACTION,0.778,0.6,Ground/slope conditions reduced the stability index,Stop the high-risk movement and reassess ground/stability conditions
A00238,2026-01-20 10:15:46,T00500,DOZ001,OP005,SLOW_REACTION,ACTION,423.1,416.965,Reaction time was elevated relative to operator baseline,Pause at a safe stationary point and review operator workload
A00239,2026-01-20 06:11:37,T00280,EXC001,OP007,SLOW_REACTION,ATTENTION,482.1,416.906,Reaction time was elevated relative to operator baseline,Pause at a safe stationary point and review operator workload
A00240,2026-01-05 15:44:59,T00997,DOZ001,OP003,HIGH_FUEL_PER_CYCLE,CRITICAL,5.3,0.12,Fuel consumed per cycle was above task baseline,Check loading technique and avoid unnecessary high-load cycles
A00241,2026-01-21 14:45:54,T00050,EXC002,OP006,PROXIMITY_APPROACH,CRITICAL,23.19,20.0,Person entered a closer-than-normal operating zone,Pause the relevant movement and confirm personnel clearance
A00242,2026-01-04 09:51:54,T00858,EXC001,OP008,HIGH_ENGINE_IDLE,ATTENTION,1.42,5.594,Engine remained active while machine was stationary,Use safe standby when continued engine operation is not required
A00243,2026-01-02 09:42:07,T00199,EXC002,OP002,RAPID_CONTROL_CORRECTIONS,ACTION,4.7,3.751,Control corrections increased above operator baseline,Pause if safe and stabilize machine control inputs
A00244,2026-01-06 13:07:22,T00342,EXC002,OP007,HIGH_FUEL_PER_CYCLE,ATTENTION,0.0,0.12,Fuel consumed per cycle was above task baseline,Check loading technique and avoid unnecessary high-load cycles
A00245,2026-01-08 11:35:21,T00461,EXC002,OP002,BELT_VIOLATION,ACTION,1.0,1.0,Seatbelt disengaged during machine movement,Stop movement and secure the seatbelt
A00246,2026-01-15 17:10:16,T00391,EXC002,OP006,SLOW_REACTION,ATTENTION,507.3,433.957,Reaction time was elevated relative to operator baseline,Pause at a safe stationary point and review operator workload
A00247,2026-01-22 11:15:16,T00457,EXC001,OP007,RAPID_CONTROL_CORRECTIONS,ACTION,4.7,3.554,Control corrections increased above operator baseline,Pause if safe and stabilize machine control inputs
A00248,2026-01-19 17:01:15,T00253,LOD001,OP002,UNEXPECTED_MOVEMENT,ACTION,3.78,0.0,Machine movement occurred during a non-moving task state,Stop movement and verify the intended machine state
A00249,2026-01-08 17:49:44,T00122,EXC001,OP005,EXCESS_IDLE,ATTENTION,15.08,7.605,Idle duration exceeded operator baseline while task was active,Stand by safely and resume when the work zone is clear
A00250,2026-01-07 09:42:10,T00586,EXC001,OP005,BELT_VIOLATION,CRITICAL,1.0,1.0,Seatbelt disengaged during machine movement,Stop movement and secure the seatbelt
A00251,2026-01-19 08:31:40,T00727,EXC001,OP008,HIGH_ENGINE_IDLE,ATTENTION,6.19,5.594,Engine remained active while machine was stationary,Use safe standby when continued engine operation is not required
A00252,2026-01-19 09:59:22,T00527,EXC002,OP002,EXCESS_IDLE,ACTION,5.68,8.356,Idle duration exceeded operator baseline while task was active,Stand by safely and resume when the work zone is clear
A00253,2026-01-03 07:59:26,T00161,EXC001,OP007,PROXIMITY_APPROACH,ACTION,28.93,20.0,Person entered a closer-than-normal operating zone,Pause the relevant movement and confirm personnel clearance
A00254,2026-01-06 08:13:31,T00345,DOZ001,OP008,RAPID_CONTROL_CORRECTIONS,ATTENTION,4.12,2.36,Control corrections increased above operator baseline,Pause if safe and stabilize machine control inputs
A00255,2026-01-24 11:20:53,T00032,EXC001,OP001,UNEXPECTED_MOVEMENT,CRITICAL,1.63,0.0,Machine movement occurred during a non-moving task state,Stop movement and verify the intended machine state
A00256,2026-01-20 08:42:24,T00607,EXC001,OP005,ABNORMAL_CYCLE_TIME,ATTENTION,28.57,28.14,Recent cycle time deviated materially from task baseline,Check task conditions and compare recent cycles with baseline
A00257,2026-01-22 16:00:43,T00176,DOZ001,OP008,HIGH_FUEL_PER_CYCLE,ACTION,8.26,0.12,Fuel consumed per cycle was above task baseline,Check loading technique and avoid unnecessary high-load cycles
A00258,2026-01-06 13:41:47,T00038,EXC002,OP005,HIGH_FUEL_PER_CYCLE,ATTENTION,9.05,0.12,Fuel consumed per cycle was above task baseline,Check loading technique and avoid unnecessary high-load cycles
A00259,2026-01-04 16:57:45,T00790,EXC001,OP003,SLOW_REACTION,ACTION,413.0,386.695,Reaction time was elevated relative to operator baseline,Pause at a safe stationary point and review operator workload
A00260,2026-01-16 13:35:05,T00818,LOD001,OP008,HARSH_SWING,ACTION,13.5,110.0,Swing activity was unusually abrupt for the current task,Reduce swing speed and confirm the swing zone is clear
A00261,2026-01-25 12:20:04,T00622,EXC001,OP005,HIGH_ENGINE_IDLE,CRITICAL,4.91,7.605,Engine remained active while machine was stationary,Use safe standby when continued engine operation is not required
A00262,2026-01-06 17:44:37,T00726,EXC002,OP007,PROXIMITY_APPROACH,ACTION,23.83,20.0,Person entered a closer-than-normal operating zone,Pause the relevant movement and confirm personnel clearance
A00263,2026-01-06 07:22:45,T00479,LOD001,OP005,BELT_VIOLATION,ATTENTION,1.0,1.0,Seatbelt disengaged during machine movement,Stop movement and secure the seatbelt
A00264,2026-01-16 07:44:33,T00362,EXC001,OP004,UNSTABLE_GROUND,ACTION,0.774,0.6,Ground/slope conditions reduced the stability index,Stop the high-risk movement and reassess ground/stability conditions
A00265,2026-01-27 08:07:27,T00851,LOD001,OP006,UNSTABLE_GROUND,ATTENTION,0.803,0.6,Ground/slope conditions reduced the stability index,Stop the high-risk movement and reassess ground/stability conditions
A00266,2026-01-09 08:12:29,T00616,DOZ001,OP004,BELT_VIOLATION,ACTION,1.0,1.0,Seatbelt disengaged during machine movement,Stop movement and secure the seatbelt
A00267,2026-01-22 14:32:29,T00459,EXC002,OP004,OVERLOAD,ATTENTION,87.65,90.0,Observed load exceeded the normal operating threshold,Reduce load and reassess the current lift/load condition
A00268,2026-01-21 06:16:46,T00572,EXC001,OP007,EXCESS_IDLE,ATTENTION,3.46,2.688,Idle duration exceeded operator baseline while task was active,Stand by safely and resume when the work zone is clear
A00269,2026-01-26 11:05:10,T00732,EXC002,OP002,OVERLOAD,CRITICAL,72.58,90.0,Observed load exceeded the normal operating threshold,Reduce load and reassess the current lift/load condition
A00270,2026-01-28 16:25:00,T00812,LOD001,OP001,PROXIMITY_APPROACH,ACTION,40.44,20.0,Person entered a closer-than-normal operating zone,Pause the relevant movement and confirm personnel clearance
A00271,2026-01-13 15:22:59,T00686,EXC002,OP006,HIGH_ENGINE_IDLE,ACTION,2.5,2.217,Engine remained active while machine was stationary,Use safe standby when continued engine operation is not required
A00272,2026-01-02 09:30:52,T00412,DOZ001,OP002,OVERLOAD,ATTENTION,59.27,90.0,Observed load exceeded the normal operating threshold,Reduce load and reassess the current lift/load condition
A00273,2026-01-23 07:06:01,T00275,EXC002,OP006,BELT_VIOLATION,ATTENTION,1.0,1.0,Seatbelt disengaged during machine movement,Stop movement and secure the seatbelt
A00274,2026-01-05 06:47:33,T00699,EXC002,OP001,UNSTABLE_GROUND,ACTION,0.842,0.6,Ground/slope conditions reduced the stability index,Stop the high-risk movement and reassess ground/stability conditions
A00275,2026-01-07 17:19:31,T00783,EXC002,OP002,HARSH_SWING,ACTION,40.7,110.0,Swing activity was unusually abrupt for the current task,Reduce swing speed and confirm the swing zone is clear
A00276,2026-01-11 08:40:36,T00368,DOZ001,OP007,UNSTABLE_GROUND,ATTENTION,0.671,0.6,Ground/slope conditions reduced the stability index,Stop the high-risk movement and reassess ground/stability conditions
A00277,2026-01-10 14:21:36,T00760,DOZ001,OP008,ABNORMAL_CYCLE_TIME,ATTENTION,57.59,61.0,Recent cycle time deviated materially from task baseline,Check task conditions and compare recent cycles with baseline
A00278,2026-01-10 13:20:55,T00223,EXC001,OP002,HIGH_FUEL_PER_CYCLE,ATTENTION,10.526,0.12,Fuel consumed per cycle was above task baseline,Check loading technique and avoid unnecessary high-load cycles
A00279,2026-01-05 05:54:41,T00803,LOD001,OP006,UNSTABLE_GROUND,ATTENTION,0.829,0.6,Ground/slope conditions reduced the stability index,Stop the high-risk movement and reassess ground/stability conditions
A00280,2026-01-02 08:35:54,T00638,EXC001,OP002,OVERLOAD,ATTENTION,81.71,90.0,Observed load exceeded the normal operating threshold,Reduce load and reassess the current lift/load condition
A00281,2026-01-10 10:46:46,T00931,LOD001,OP007,UNEXPECTED_MOVEMENT,ACTION,2.61,0.0,Machine movement occurred during a non-moving task state,Stop movement and verify the intended machine state
A00282,2026-01-24 18:46:23,T00959,EXC001,OP003,ABNORMAL_CYCLE_TIME,ACTION,30.95,31.33,Recent cycle time deviated materially from task baseline,Check task conditions and compare recent cycles with baseline
A00283,2026-01-17 18:07:33,T00915,EXC001,OP004,EXCESS_IDLE,ACTION,11.91,5.836,Idle duration exceeded operator baseline while task was active,Stand by safely and resume when the work zone is clear
A00284,2026-01-29 15:41:32,T00188,EXC001,OP006,HARSH_SWING,ACTION,41.1,110.0,Swing activity was unusually abrupt for the current task,Reduce swing speed and confirm the swing zone is clear
A00285,2026-01-07 14:37:55,T00723,EXC001,OP002,OVERLOAD,ATTENTION,90.98,90.0,Observed load exceeded the normal operating threshold,Reduce load and reassess the current lift/load condition
A00286,2026-01-27 07:43:55,T00082,LOD001,OP004,PROXIMITY_APPROACH,ACTION,27.43,20.0,Person entered a closer-than-normal operating zone,Pause the relevant movement and confirm personnel clearance
A00287,2026-01-23 14:14:08,T00610,LOD001,OP003,HIGH_ENGINE_IDLE,ATTENTION,0.0,5.841,Engine remained active while machine was stationary,Use safe standby when continued engine operation is not required
A00288,2026-01-18 06:43:14,T00347,EXC002,OP006,UNEXPECTED_MOVEMENT,ATTENTION,2.48,0.0,Machine movement occurred during a non-moving task state,Stop movement and verify the intended machine state
A00289,2026-01-20 06:04:59,T00166,EXC001,OP007,SLOW_REACTION,ATTENTION,449.3,416.906,Reaction time was elevated relative to operator baseline,Pause at a safe stationary point and review operator workload
A00290,2026-01-21 06:23:01,T00370,EXC002,OP005,HIGH_ENGINE_IDLE,ATTENTION,0.0,7.605,Engine remained active while machine was stationary,Use safe standby when continued engine operation is not required
A00291,2026-01-09 13:46:23,T00409,EXC001,OP004,OVERLOAD,ACTION,86.92,90.0,Observed load exceeded the normal operating threshold,Reduce load and reassess the current lift/load condition
A00292,2026-01-16 18:19:33,T00150,DOZ001,OP002,PROXIMITY_APPROACH,ACTION,25.46,20.0,Person entered a closer-than-normal operating zone,Pause the relevant movement and confirm personnel clearance
A00293,2026-01-03 08:18:36,T00193,EXC001,OP005,RAPID_CONTROL_CORRECTIONS,CRITICAL,5.44,4.673,Control corrections increased above operator baseline,Pause if safe and stabilize machine control inputs
A00294,2026-01-23 16:41:48,T00415,LOD001,OP006,BELT_VIOLATION,CRITICAL,1.0,1.0,Seatbelt disengaged during machine movement,Stop movement and secure the seatbelt
A00295,2026-01-27 13:04:12,T00343,EXC001,OP006,HIGH_FUEL_PER_CYCLE,ATTENTION,0.0,0.12,Fuel consumed per cycle was above task baseline,Check loading technique and avoid unnecessary high-load cycles
A00296,2026-01-23 11:22:26,T00040,LOD001,OP004,HARSH_SWING,ACTION,0.5,110.0,Swing activity was unusually abrupt for the current task,Reduce swing speed and confirm the swing zone is clear
